"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","66667","@smoke Verify Services mega menu","chromium","2026-09-02","failed","2026-09-02","@smoke Mega Menu Tests","validate-megaMenu-tree.spec.ts","",""
"","8823","@sanity @plp Verify entire product tile is clickable and navigates to the correct Product Detail Page (PDP).","chromium","2026-09-02","passed","2026-09-02","","search-page-validation.spec.ts","",""
"","5231","@smoke Verify Email Format validation on Login form","chromium","2026-09-02","passed","2026-09-02","","verify-mandatory-form-fields.spec.ts","",""
"","67048","@smoke Verify About Fortis mega menu","chromium","2026-09-02","failed","2026-09-02","@smoke Mega Menu Tests","validate-megaMenu-tree.spec.ts","",""
"","67191","@smoke Verify Learning Center mega menu","chromium","2026-09-02","failed","2026-09-02","","validation.spec.ts","",""
"","6085","@sanity @plp Verify on mobile viewports, PLP switches automatically from List View to Grid View.","chromium","2026-09-02","passed","2026-09-02","","search-page-validation.spec.ts","",""
"","6570","@smoke Login with valid credentials and verify user name","chromium","2026-09-02","passed","2026-09-02","","login.spec.ts","",""
"","5783","@smoke Verify Login form mandatory fields","chromium","2026-09-02","passed","2026-09-02","","verify-mandatory-form-fields.spec.ts","",""
"","16311","@wip - Login and order a product","chromium","2026-09-02","failed","2026-09-02","","buy-a-product.spec.ts","",""
"","10606","@sanity @plp Verify brand logo displays correctly to the right of the product name and brand attribute appears below it.","chromium","2026-09-02","failed","2026-09-02","","search-page-validation.spec.ts","",""
"","1","@inprogress - Verify New user registration","chromium","2026-09-02","skipped","2026-09-02","","user-registration.spec.ts","",""
"","5534","@smoke Verify Registration form mandatory fields","chromium","2026-09-02","passed","2026-09-02","","verify-mandatory-form-fields.spec.ts","",""
"","66808","@smoke Verify Products mega menu","chromium","2026-09-02","failed","2026-09-02","@smoke Mega Menu Tests","validate-megaMenu-tree.spec.ts","",""
"","66886","@smoke Verify Products mega menu","chromium","2026-09-02","failed","2026-09-02","","validation.spec.ts","",""
"","66927","@smoke Verify Learning Center mega menu","chromium","2026-09-02","failed","2026-09-02","@smoke Mega Menu Tests","validate-megaMenu-tree.spec.ts","",""
"","4797","@smoke Verify clicking cross closes the Login form","chromium","2026-09-02","passed","2026-09-02","","verify-mandatory-form-fields.spec.ts","",""
"","67473","@smoke Verify About Fortis mega menu","chromium","2026-09-02","failed","2026-09-02","","validation.spec.ts","",""
"","5399","@smoke - Login with invalid credentials shows error","chromium","2026-09-02","passed","2026-09-02","","login.spec.ts","",""
"","67189","@smoke Mega menu keyboard navigation","chromium","2026-09-02","failed","2026-09-02","","validate-megaMenu-keyboard-button.spec.ts","",""
"","66877","@smoke Verify Services mega menu","chromium","2026-09-02","failed","2026-09-02","","validation.spec.ts","",""
"","6191","Verify 'New', 'Trial Size Available' and 'BSA-Free' tags on PLP","chromium","2026-09-02","failed","2026-09-02","","search-page-validation.spec.ts","",""
